# x [m]	y [m]	T [K]
0.00	0.00	300.00
0.04	0.00	310.00
0.08	0.00	320.00
0.12	0.00	330.00
0.16	0.00	340.00
0.20	0.00	350.00
0.40	0.00	362.50
0.60	0.00	375.00
0.80	0.00	387.50
1.00	0.00	400.00
0.00	0.11	300.00
0.04	0.11	310.00
0.08	0.11	320.00
0.12	0.11	330.00
0.16	0.11	340.00
0.20	0.11	350.00
0.40	0.11	362.50
0.60	0.11	375.00
0.80	0.11	387.50
1.00	0.11	400.00
0.00	0.22	300.00
0.04	0.22	310.00
0.08	0.22	320.00
0.12	0.22	330.00
0.16	0.22	340.00
0.20	0.22	350.00
0.40	0.22	362.50
0.60	0.22	375.00
0.80	0.22	387.50
1.00	0.22	400.00
0.00	0.33	300.00
0.04	0.33	310.00
0.08	0.33	320.00
0.12	0.33	330.00
0.16	0.33	340.00
0.20	0.33	350.00
0.40	0.33	362.50
0.60	0.33	375.00
0.80	0.33	387.50
1.00	0.33	400.00
0.00	0.44	300.00
0.04	0.44	310.00
0.08	0.44	320.00
0.12	0.44	330.00
0.16	0.44	340.00
0.20	0.44	350.00
0.40	0.44	362.50
0.60	0.44	375.00
0.80	0.44	387.50
1.00	0.44	400.00
0.00	0.56	300.00
0.04	0.56	310.00
0.08	0.56	320.00
0.12	0.56	330.00
0.16	0.56	340.00
0.20	0.56	350.00
0.40	0.56	362.50
0.60	0.56	375.00
0.80	0.56	387.50
1.00	0.56	400.00
0.00	0.67	300.00
0.04	0.67	310.00
0.08	0.67	320.00
0.12	0.67	330.00
0.16	0.67	340.00
0.20	0.67	350.00
0.40	0.67	362.50
0.60	0.67	375.00
0.80	0.67	387.50
1.00	0.67	400.00
0.00	0.78	300.00
0.04	0.78	310.00
0.08	0.78	320.00
0.12	0.78	330.00
0.16	0.78	340.00
0.20	0.78	350.00
0.40	0.78	362.50
0.60	0.78	375.00
0.80	0.78	387.50
1.00	0.78	400.00
0.00	0.89	300.00
0.04	0.89	310.00
0.08	0.89	320.00
0.12	0.89	330.00
0.16	0.89	340.00
0.20	0.89	350.00
0.40	0.89	362.50
0.60	0.89	375.00
0.80	0.89	387.50
1.00	0.89	400.00
0.00	1.00	300.00
0.04	1.00	310.00
0.08	1.00	320.00
0.12	1.00	330.00
0.16	1.00	340.00
0.20	1.00	350.00
0.40	1.00	362.50
0.60	1.00	375.00
0.80	1.00	387.50
1.00	1.00	400.00
